Sentence,Emotion
The employee got promoted today.,Joy
The employee found an unexpected opportunity today.,Surprise
I completed the assignment today.,Neutral
My brother showed kindness today.,Love
The student was treated unfairly today.,Anger
The employee valued a friendship today.,Love
My friend was amazed by the result today.,Surprise
Our team was afraid of failing today.,Fear
The employee feared the outcome today.,Fear
The employee was scared of the result today.,Fear
The employee missed a loved one today.,Sadness
My friend expressed affection today.,Love
The student became very angry today.,Anger
The student heard shocking news today.,Surprise
The teacher checked the schedule today.,Neutral
My friend got annoyed today.,Anger
The teacher finished the task today.,Neutral
My brother heard shocking news today.,Surprise
My friend felt lonely today.,Sadness
My sister felt nervous about the exam today.,Fear
The employee achieved a goal today.,Joy
My friend was stunned today.,Surprise
I was scared of the result today.,Fear
My sister attended the meeting today.,Neutral
The employee missed a loved one today.,Sadness
My sister checked the schedule today.,Neutral
Our team was scared of the result today.,Fear
Our team missed a loved one today.,Sadness
The employee lost patience today.,Anger
The student received good news today.,Joy
My brother attended the meeting today.,Neutral
My sister worried about the interview today.,Fear
The employee felt nervous about the exam today.,Fear
My friend saw something unbelievable today.,Surprise
The employee was stunned today.,Surprise
My brother experienced a surprise today.,Surprise
I expressed affection today.,Love
My sister was afraid of failing today.,Fear
The teacher felt heartbroken today.,Sadness
My sister received bad news today.,Sadness
My brother appreciated the support today.,Love
Our team worried about the future today.,Fear
My sister lost something important today.,Sadness
The student found an unexpected opportunity today.,Surprise
The employee appreciated the support today.,Love
My friend feared the outcome today.,Fear
My brother earned an award today.,Joy
My sister valued a friendship today.,Love
My brother experienced a surprise today.,Surprise
My sister felt anxious today.,Fear
The teacher felt uncertain today.,Fear
The teacher got annoyed today.,Anger
My friend felt frustrated today.,Anger
The employee was treated unfairly today.,Anger
My friend went to college today.,Neutral
The teacher lost patience today.,Anger
My brother experienced a surprise today.,Surprise
My friend had a difficult day today.,Sadness
My brother was amazed by the result today.,Surprise
My friend felt heartbroken today.,Sadness
The student felt frustrated today.,Anger
My brother hated the situation today.,Anger
The employee argued about the issue today.,Anger
The employee submitted the report today.,Neutral
My sister felt left out today.,Sadness
My sister lost patience today.,Anger
My brother showed kindness today.,Love
My brother could not believe the outcome today.,Surprise
My sister achieved a goal today.,Joy
I became very angry today.,Anger
The employee completed a project today.,Joy
My sister felt loved today.,Love
Our team had a wonderful day today.,Joy
The student was disappointed today.,Sadness
The teacher lost patience today.,Anger
My brother had a wonderful day today.,Joy
The employee valued a friendship today.,Love
My friend heard shocking news today.,Surprise
My friend found an unexpected opportunity today.,Surprise
My sister could not believe the outcome today.,Surprise
Our team felt frustrated today.,Anger
My friend achieved a goal today.,Joy
The employee hated the situation today.,Anger
My friend received good news today.,Joy
Our team cared deeply for someone today.,Love
I was upset by the decision today.,Anger
The student submitted the report today.,Neutral
The teacher was scared of the result today.,Fear
My friend felt left out today.,Sadness
I went to college today.,Neutral
I was scared of the result today.,Fear
The teacher submitted the report today.,Neutral
The student hated the situation today.,Anger
The teacher found an unexpected opportunity today.,Surprise
My brother felt nervous about the exam today.,Fear
I worried about the future today.,Fear
The employee attended the meeting today.,Neutral
The employee felt uncertain today.,Fear
My friend was afraid of failing today.,Fear
The teacher felt uncertain today.,Fear
Our team was treated unfairly today.,Anger
I cared deeply for someone today.,Love
I was amazed by the result today.,Surprise
The employee feared the outcome today.,Fear
The employee completed a project today.,Joy
The teacher finished the task today.,Neutral
The teacher received bad news today.,Sadness
The student felt frustrated today.,Anger
Our team cared deeply for someone today.,Love
The employee finished the task today.,Neutral
Our team became very angry today.,Anger
The student won a competition today.,Joy
The employee missed a loved one today.,Sadness
My friend achieved a goal today.,Joy
The student heard shocking news today.,Surprise
I was treated unfairly today.,Anger
Our team expressed affection today.,Love
My friend lost something important today.,Sadness
The student saw something unbelievable today.,Surprise
The teacher was afraid of failing today.,Fear
Our team worried about the future today.,Fear
My sister argued about the issue today.,Anger
I had a difficult day today.,Sadness
The teacher felt uncertain today.,Fear
The employee missed a loved one today.,Sadness
My friend felt anxious today.,Fear
I felt lonely today.,Sadness
My friend lost something important today.,Sadness
I felt lonely today.,Sadness
I got promoted today.,Joy
My friend appreciated the support today.,Love
The teacher found an unexpected opportunity today.,Surprise
The teacher felt loved today.,Love
My brother felt anxious today.,Fear
The teacher could not believe the outcome today.,Surprise
I was upset by the decision today.,Anger
Our team worried about the interview today.,Fear
My friend heard shocking news today.,Surprise
My sister worried about the interview today.,Fear
I found an unexpected opportunity today.,Surprise
I worried about the future today.,Fear
My friend hated the situation today.,Anger
Our team received bad news today.,Sadness
My sister submitted the report today.,Neutral
My sister saw something unbelievable today.,Surprise
My friend was stunned today.,Surprise
I appreciated the support today.,Love
Our team saw something unbelievable today.,Surprise
My friend went to college today.,Neutral
Our team worried about the interview today.,Fear
My brother submitted the report today.,Neutral
The teacher updated the document today.,Neutral
Our team completed a project today.,Joy
The employee felt loved today.,Love
The teacher appreciated the support today.,Love
The student was scared of the result today.,Fear
My sister earned an award today.,Joy
I was disappointed today.,Sadness
Our team completed the assignment today.,Neutral
Our team saw something unbelievable today.,Surprise
Our team was stunned today.,Surprise
My friend received bad news today.,Sadness
Our team got annoyed today.,Anger
Our team cared deeply for someone today.,Love
The teacher had a wonderful day today.,Joy
My sister updated the document today.,Neutral
My friend hated the situation today.,Anger
The employee lost something important today.,Sadness
My friend checked the schedule today.,Neutral
My sister found an unexpected opportunity today.,Surprise
My sister missed a loved one today.,Sadness
I heard shocking news today.,Surprise
Our team valued a friendship today.,Love
The employee earned an award today.,Joy
My sister hated the situation today.,Anger
My brother felt grateful for loved ones today.,Love
The employee worried about the interview today.,Fear
I completed the assignment today.,Neutral
The teacher was treated unfairly today.,Anger
My friend was afraid of failing today.,Fear
The teacher was scared of the result today.,Fear
The student found an unexpected opportunity today.,Surprise
I finished the task today.,Neutral
My sister received bad news today.,Sadness
The teacher was disappointed today.,Sadness
I felt left out today.,Sadness
My friend got promoted today.,Joy
I submitted the report today.,Neutral
My brother worried about the interview today.,Fear
My friend felt grateful for loved ones today.,Love
The teacher was stunned today.,Surprise
I had a difficult day today.,Sadness
The teacher enjoyed time with family today.,Love
The employee felt uncertain today.,Fear
I felt uncertain today.,Fear
Our team felt lonely today.,Sadness
My friend feared the outcome today.,Fear
My brother submitted the report today.,Neutral
The student had a difficult day today.,Sadness
My sister was treated unfairly today.,Anger
My sister finished the task today.,Neutral
My friend cared deeply for someone today.,Love
My friend felt uncertain today.,Fear
The teacher missed a loved one today.,Sadness
My friend valued a friendship today.,Love
My sister had a wonderful day today.,Joy
I attended the meeting today.,Neutral
Our team was upset by the decision today.,Anger
My sister felt lonely today.,Sadness
The teacher passed the exam today.,Joy
The teacher felt lonely today.,Sadness
Our team felt left out today.,Sadness
The student reviewed the information today.,Neutral
The teacher could not believe the outcome today.,Surprise
My brother finished the task today.,Neutral
Our team expressed affection today.,Love
I was treated unfairly today.,Anger
My sister felt lonely today.,Sadness
My sister missed a loved one today.,Sadness
My friend became very angry today.,Anger
Our team had a difficult day today.,Sadness
My friend was disappointed today.,Sadness
The teacher passed the exam today.,Joy
The employee passed the exam today.,Joy
I got annoyed today.,Anger
My sister heard shocking news today.,Surprise
I cared deeply for someone today.,Love
The student missed a loved one today.,Sadness
My sister felt nervous about the exam today.,Fear
The teacher got annoyed today.,Anger
The student attended the meeting today.,Neutral
Our team attended the meeting today.,Neutral
My sister reviewed the information today.,Neutral
The student achieved a goal today.,Joy
The student felt grateful for loved ones today.,Love
My sister completed a project today.,Joy
Our team received good news today.,Joy
The employee attended the meeting today.,Neutral
My brother passed the exam today.,Joy
My brother received bad news today.,Sadness
My friend felt uncertain today.,Fear
The employee felt heartbroken today.,Sadness
I worried about the future today.,Fear
The student was upset by the decision today.,Anger
My brother was afraid of failing today.,Fear
I felt left out today.,Sadness
Our team felt left out today.,Sadness
The teacher completed the assignment today.,Neutral
My friend was afraid of failing today.,Fear
My sister had a difficult day today.,Sadness
Our team felt grateful for loved ones today.,Love
The student received bad news today.,Sadness
The teacher felt loved today.,Love
The teacher got promoted today.,Joy
The employee received bad news today.,Sadness
I could not believe the outcome today.,Surprise
The student got promoted today.,Joy
The teacher worried about the interview today.,Fear
I won a competition today.,Joy
The student received bad news today.,Sadness
The employee got annoyed today.,Anger
The employee worried about the interview today.,Fear
Our team was treated unfairly today.,Anger
The student appreciated the support today.,Love
The student was treated unfairly today.,Anger
My friend heard shocking news today.,Surprise
The student experienced a surprise today.,Surprise
My friend argued about the issue today.,Anger
Our team appreciated the support today.,Love
My brother could not believe the outcome today.,Surprise
Our team worried about the future today.,Fear
I updated the document today.,Neutral
I felt grateful for loved ones today.,Love
The teacher was scared of the result today.,Fear
My brother appreciated the support today.,Love
My brother completed the assignment today.,Neutral
My sister lost patience today.,Anger
Our team received good news today.,Joy
My sister lost something important today.,Sadness
The teacher expressed affection today.,Love
I felt heartbroken today.,Sadness
My friend felt lonely today.,Sadness
I felt frustrated today.,Anger
My brother worried about the interview today.,Fear
The student had a wonderful day today.,Joy
The student checked the schedule today.,Neutral
My brother could not believe the outcome today.,Surprise
I felt lonely today.,Sadness
My sister earned an award today.,Joy
I received bad news today.,Sadness
Our team showed kindness today.,Love
The student felt grateful for loved ones today.,Love
The teacher was stunned today.,Surprise
The employee found an unexpected opportunity today.,Surprise
My sister passed the exam today.,Joy
My sister was afraid of failing today.,Fear
The employee argued about the issue today.,Anger
The teacher argued about the issue today.,Anger
The student experienced a surprise today.,Surprise
The student became very angry today.,Anger
My brother worried about the interview today.,Fear
The teacher felt heartbroken today.,Sadness
My friend felt left out today.,Sadness
My sister experienced a surprise today.,Surprise
The employee saw something unbelievable today.,Surprise
My brother hated the situation today.,Anger
My brother went to college today.,Neutral
The student felt grateful for loved ones today.,Love
The employee could not believe the outcome today.,Surprise
The student worried about the interview today.,Fear
My sister received an unexpected gift today.,Surprise
I lost patience today.,Anger
My sister went to college today.,Neutral
I got promoted today.,Joy
The teacher got promoted today.,Joy
My brother felt lonely today.,Sadness
Our team felt lonely today.,Sadness
My brother received bad news today.,Sadness
My brother feared the outcome today.,Fear
I felt grateful for loved ones today.,Love
My friend expressed affection today.,Love
The teacher worried about the future today.,Fear
My friend felt uncertain today.,Fear
My sister hated the situation today.,Anger
Our team argued about the issue today.,Anger
The teacher could not believe the outcome today.,Surprise
My brother appreciated the support today.,Love
The teacher missed a loved one today.,Sadness
The teacher went to college today.,Neutral
I updated the document today.,Neutral
My friend was stunned today.,Surprise
My brother updated the document today.,Neutral
I completed the assignment today.,Neutral
My brother heard shocking news today.,Surprise
The teacher had a wonderful day today.,Joy
The teacher got promoted today.,Joy
The student received good news today.,Joy
My friend completed the assignment today.,Neutral
I was amazed by the result today.,Surprise
I hated the situation today.,Anger
My brother checked the schedule today.,Neutral
The teacher updated the document today.,Neutral
The teacher won a competition today.,Joy
My brother felt grateful for loved ones today.,Love
The teacher felt grateful for loved ones today.,Love
The employee got annoyed today.,Anger
My friend had a wonderful day today.,Joy
My sister expressed affection today.,Love
My friend valued a friendship today.,Love
The teacher felt nervous about the exam today.,Fear
The teacher feared the outcome today.,Fear
The student felt uncertain today.,Fear
My brother feared the outcome today.,Fear
The teacher earned an award today.,Joy
Our team enjoyed time with family today.,Love
The teacher checked the schedule today.,Neutral
The employee submitted the report today.,Neutral
Our team felt lonely today.,Sadness
My friend feared the outcome today.,Fear
My sister expressed affection today.,Love
Our team completed a project today.,Joy
My friend reviewed the information today.,Neutral
I felt uncertain today.,Fear
The employee felt frustrated today.,Anger
My brother had a wonderful day today.,Joy
My brother found an unexpected opportunity today.,Surprise
My brother achieved a goal today.,Joy
The teacher felt grateful for loved ones today.,Love
The teacher received good news today.,Joy
I completed a project today.,Joy
My friend feared the outcome today.,Fear
I attended the meeting today.,Neutral
I expressed affection today.,Love
The employee was upset by the decision today.,Anger
My friend completed a project today.,Joy
I felt nervous about the exam today.,Fear
The employee passed the exam today.,Joy
I felt lonely today.,Sadness
The teacher checked the schedule today.,Neutral
My sister cared deeply for someone today.,Love
The student became very angry today.,Anger
My friend reviewed the information today.,Neutral
My friend received good news today.,Joy
The employee reviewed the information today.,Neutral
My sister received good news today.,Joy
The student checked the schedule today.,Neutral
My sister saw something unbelievable today.,Surprise
The employee felt anxious today.,Fear
I attended the meeting today.,Neutral
My friend received good news today.,Joy
My friend felt nervous about the exam today.,Fear
The employee valued a friendship today.,Love
My brother found an unexpected opportunity today.,Surprise
Our team had a wonderful day today.,Joy
The employee missed a loved one today.,Sadness
Our team received an unexpected gift today.,Surprise
The teacher felt frustrated today.,Anger
Our team achieved a goal today.,Joy
The student was treated unfairly today.,Anger
Our team was disappointed today.,Sadness
The employee was scared of the result today.,Fear
I had a wonderful day today.,Joy
I was treated unfairly today.,Anger
Our team was treated unfairly today.,Anger
I got annoyed today.,Anger
The student expressed affection today.,Love
Our team experienced a surprise today.,Surprise
The teacher updated the document today.,Neutral
The teacher went to college today.,Neutral
The student worried about the future today.,Fear
The employee finished the task today.,Neutral
My brother earned an award today.,Joy
I cared deeply for someone today.,Love
Our team felt loved today.,Love
I won a competition today.,Joy
Our team was treated unfairly today.,Anger
I got annoyed today.,Anger
Our team was disappointed today.,Sadness
The student received bad news today.,Sadness
The student was upset by the decision today.,Anger
The employee earned an award today.,Joy
The student submitted the report today.,Neutral
My sister valued a friendship today.,Love
The teacher missed a loved one today.,Sadness
My friend submitted the report today.,Neutral
Our team had a wonderful day today.,Joy
Our team updated the document today.,Neutral
The student earned an award today.,Joy
The student was treated unfairly today.,Anger
My brother lost something important today.,Sadness
The employee worried about the interview today.,Fear
My sister got promoted today.,Joy
My sister was upset by the decision today.,Anger
Our team felt anxious today.,Fear
The employee was stunned today.,Surprise
The teacher worried about the interview today.,Fear
My brother felt frustrated today.,Anger
The teacher received good news today.,Joy
My brother felt lonely today.,Sadness
My brother enjoyed time with family today.,Love
My friend earned an award today.,Joy
The student was stunned today.,Surprise
The employee lost patience today.,Anger
My sister was amazed by the result today.,Surprise
I felt nervous about the exam today.,Fear
My brother received an unexpected gift today.,Surprise
The teacher submitted the report today.,Neutral
The student achieved a goal today.,Joy
My sister argued about the issue today.,Anger
The employee completed the assignment today.,Neutral
My sister worried about the interview today.,Fear
My sister was treated unfairly today.,Anger
The student attended the meeting today.,Neutral
My brother felt grateful for loved ones today.,Love
My friend enjoyed time with family today.,Love
Our team expressed affection today.,Love
Our team worried about the interview today.,Fear
My sister attended the meeting today.,Neutral
The student felt uncertain today.,Fear
The employee experienced a surprise today.,Surprise
The student appreciated the support today.,Love
My sister argued about the issue today.,Anger
The teacher reviewed the information today.,Neutral
The employee found an unexpected opportunity today.,Surprise
My brother enjoyed time with family today.,Love
Our team cared deeply for someone today.,Love
My sister achieved a goal today.,Joy
My brother valued a friendship today.,Love
Our team received bad news today.,Sadness
My friend became very angry today.,Anger
The student expressed affection today.,Love
Our team was stunned today.,Surprise
My sister felt lonely today.,Sadness
Our team received an unexpected gift today.,Surprise
My friend felt frustrated today.,Anger
The student received bad news today.,Sadness
The employee received good news today.,Joy
The employee went to college today.,Neutral
Our team received bad news today.,Sadness
The teacher received an unexpected gift today.,Surprise
My friend received good news today.,Joy
My brother lost something important today.,Sadness
The teacher was amazed by the result today.,Surprise
Our team could not believe the outcome today.,Surprise
The teacher valued a friendship today.,Love
Our team updated the document today.,Neutral
The employee finished the task today.,Neutral
The student submitted the report today.,Neutral
My brother felt grateful for loved ones today.,Love
The student missed a loved one today.,Sadness
My brother was stunned today.,Surprise
My sister felt left out today.,Sadness
The teacher experienced a surprise today.,Surprise
My brother completed the assignment today.,Neutral
The student received an unexpected gift today.,Surprise
The employee went to college today.,Neutral
Our team completed a project today.,Joy
The teacher felt nervous about the exam today.,Fear
The teacher felt grateful for loved ones today.,Love
Our team felt heartbroken today.,Sadness
The student got promoted today.,Joy
The student received bad news today.,Sadness
I was amazed by the result today.,Surprise
The student felt loved today.,Love
My sister appreciated the support today.,Love
I was amazed by the result today.,Surprise
The employee was treated unfairly today.,Anger
My friend received good news today.,Joy
The student was treated unfairly today.,Anger
My friend could not believe the outcome today.,Surprise
I felt left out today.,Sadness
My friend had a difficult day today.,Sadness
The employee valued a friendship today.,Love
My sister got annoyed today.,Anger
Our team felt grateful for loved ones today.,Love
The employee appreciated the support today.,Love
Our team passed the exam today.,Joy
The employee missed a loved one today.,Sadness
My friend lost patience today.,Anger
My brother enjoyed time with family today.,Love
Our team enjoyed time with family today.,Love
The employee became very angry today.,Anger
My friend finished the task today.,Neutral
The employee got promoted today.,Joy
The student reviewed the information today.,Neutral
The teacher lost something important today.,Sadness
The employee achieved a goal today.,Joy
The student worried about the future today.,Fear
The student lost something important today.,Sadness
My friend felt nervous about the exam today.,Fear
Our team was scared of the result today.,Fear
My brother felt lonely today.,Sadness
I achieved a goal today.,Joy
The student enjoyed time with family today.,Love
My friend went to college today.,Neutral
The student felt lonely today.,Sadness
The employee felt anxious today.,Fear
The student lost patience today.,Anger
The teacher heard shocking news today.,Surprise
My brother worried about the future today.,Fear
I hated the situation today.,Anger
My sister had a difficult day today.,Sadness
My friend felt grateful for loved ones today.,Love
Our team worried about the future today.,Fear
My sister felt loved today.,Love
Our team passed the exam today.,Joy
The teacher was amazed by the result today.,Surprise
I received good news today.,Joy
The student felt loved today.,Love
Our team felt loved today.,Love
My friend earned an award today.,Joy
I saw something unbelievable today.,Surprise
The teacher was afraid of failing today.,Fear
The student finished the task today.,Neutral
Our team attended the meeting today.,Neutral
My brother valued a friendship today.,Love
My friend showed kindness today.,Love
My brother could not believe the outcome today.,Surprise
My sister felt anxious today.,Fear
The employee felt heartbroken today.,Sadness
My friend cared deeply for someone today.,Love
Our team earned an award today.,Joy
The student won a competition today.,Joy
My sister worried about the future today.,Fear
Our team saw something unbelievable today.,Surprise
Our team went to college today.,Neutral
The student valued a friendship today.,Love
The teacher was disappointed today.,Sadness
My sister felt loved today.,Love
My sister got promoted today.,Joy
I argued about the issue today.,Anger
The teacher saw something unbelievable today.,Surprise
My sister feared the outcome today.,Fear
I received bad news today.,Sadness
My brother was treated unfairly today.,Anger
My friend was upset by the decision today.,Anger
Our team appreciated the support today.,Love
My sister lost patience today.,Anger
The teacher was upset by the decision today.,Anger
Our team was scared of the result today.,Fear
The student appreciated the support today.,Love
Our team completed the assignment today.,Neutral
My friend felt frustrated today.,Anger
The teacher showed kindness today.,Love
My brother felt frustrated today.,Anger
I expressed affection today.,Love
My friend completed the assignment today.,Neutral
My sister attended the meeting today.,Neutral
My brother valued a friendship today.,Love
My brother felt left out today.,Sadness
My sister felt anxious today.,Fear
The student became very angry today.,Anger
The employee received an unexpected gift today.,Surprise
Our team showed kindness today.,Love
The student received bad news today.,Sadness
My brother had a difficult day today.,Sadness
Our team appreciated the support today.,Love
I attended the meeting today.,Neutral
I went to college today.,Neutral
My sister hated the situation today.,Anger
The student had a wonderful day today.,Joy
My brother saw something unbelievable today.,Surprise
Our team saw something unbelievable today.,Surprise
I attended the meeting today.,Neutral
Our team felt lonely today.,Sadness
The employee passed the exam today.,Joy
I got annoyed today.,Anger
My brother saw something unbelievable today.,Surprise
The student was stunned today.,Surprise
I lost something important today.,Sadness
The student showed kindness today.,Love
My sister felt frustrated today.,Anger
The student felt uncertain today.,Fear
My friend cared deeply for someone today.,Love
My sister lost patience today.,Anger
My sister received an unexpected gift today.,Surprise
Our team was treated unfairly today.,Anger
Our team worried about the future today.,Fear
I earned an award today.,Joy
My sister received good news today.,Joy
My sister felt lonely today.,Sadness
The student valued a friendship today.,Love
The student was treated unfairly today.,Anger
I felt loved today.,Love
The teacher updated the document today.,Neutral
The teacher won a competition today.,Joy
The teacher passed the exam today.,Joy
My sister felt uncertain today.,Fear
Our team was stunned today.,Surprise
The teacher felt anxious today.,Fear
I was amazed by the result today.,Surprise
The teacher updated the document today.,Neutral
The employee reviewed the information today.,Neutral
The teacher completed the assignment today.,Neutral
I experienced a surprise today.,Surprise
Our team feared the outcome today.,Fear
The employee reviewed the information today.,Neutral
My brother completed the assignment today.,Neutral
Our team felt heartbroken today.,Sadness
My friend saw something unbelievable today.,Surprise
The teacher enjoyed time with family today.,Love
Our team had a wonderful day today.,Joy
The student worried about the interview today.,Fear
I feared the outcome today.,Fear
My sister experienced a surprise today.,Surprise
The employee argued about the issue today.,Anger
My brother felt heartbroken today.,Sadness
My sister attended the meeting today.,Neutral
The teacher appreciated the support today.,Love
The employee found an unexpected opportunity today.,Surprise
The teacher went to college today.,Neutral
My friend argued about the issue today.,Anger
My friend had a wonderful day today.,Joy
My brother showed kindness today.,Love
I attended the meeting today.,Neutral
The teacher experienced a surprise today.,Surprise
My brother was treated unfairly today.,Anger
My sister went to college today.,Neutral
The student felt lonely today.,Sadness
My friend appreciated the support today.,Love
My brother was scared of the result today.,Fear
My sister earned an award today.,Joy
Our team felt anxious today.,Fear
The student got promoted today.,Joy
The student worried about the interview today.,Fear
The employee saw something unbelievable today.,Surprise
The employee worried about the interview today.,Fear
My sister argued about the issue today.,Anger
The teacher received good news today.,Joy
My brother got annoyed today.,Anger
The teacher passed the exam today.,Joy
My brother was afraid of failing today.,Fear
The teacher was amazed by the result today.,Surprise
Our team checked the schedule today.,Neutral
The employee experienced a surprise today.,Surprise
My brother received an unexpected gift today.,Surprise
My friend lost something important today.,Sadness
Our team experienced a surprise today.,Surprise
The teacher found an unexpected opportunity today.,Surprise
My friend updated the document today.,Neutral
My sister missed a loved one today.,Sadness
Our team had a difficult day today.,Sadness
The teacher achieved a goal today.,Joy
The employee got promoted today.,Joy
My friend felt uncertain today.,Fear
My brother hated the situation today.,Anger
My friend felt frustrated today.,Anger
The student was afraid of failing today.,Fear
My sister lost something important today.,Sadness
My friend felt frustrated today.,Anger
The employee passed the exam today.,Joy
My sister felt anxious today.,Fear
The student lost patience today.,Anger
The teacher achieved a goal today.,Joy
The employee cared deeply for someone today.,Love
The student achieved a goal today.,Joy
The employee received bad news today.,Sadness
The employee completed the assignment today.,Neutral
My sister expressed affection today.,Love
The student earned an award today.,Joy
The student had a difficult day today.,Sadness
My sister felt loved today.,Love
The employee felt uncertain today.,Fear
My brother argued about the issue today.,Anger
The employee missed a loved one today.,Sadness
Our team got promoted today.,Joy
The teacher finished the task today.,Neutral
My brother felt frustrated today.,Anger
My brother felt lonely today.,Sadness
My sister was disappointed today.,Sadness
My friend argued about the issue today.,Anger
My brother felt lonely today.,Sadness
The employee completed the assignment today.,Neutral
The employee achieved a goal today.,Joy
Our team got promoted today.,Joy
The teacher had a wonderful day today.,Joy
The student felt frustrated today.,Anger
I worried about the interview today.,Fear
My sister got annoyed today.,Anger
My friend was stunned today.,Surprise
My sister got promoted today.,Joy
I felt nervous about the exam today.,Fear
My friend was disappointed today.,Sadness
The student was scared of the result today.,Fear
My friend lost patience today.,Anger
Our team received good news today.,Joy
The teacher could not believe the outcome today.,Surprise
My sister passed the exam today.,Joy
The student could not believe the outcome today.,Surprise
The employee worried about the future today.,Fear
I felt frustrated today.,Anger
The student experienced a surprise today.,Surprise
I could not believe the outcome today.,Surprise
My friend updated the document today.,Neutral
The student had a wonderful day today.,Joy
The teacher feared the outcome today.,Fear
The student saw something unbelievable today.,Surprise
My sister expressed affection today.,Love
The teacher got annoyed today.,Anger
Our team felt heartbroken today.,Sadness
Our team went to college today.,Neutral
The teacher lost patience today.,Anger
My sister achieved a goal today.,Joy
My friend felt left out today.,Sadness
My brother received an unexpected gift today.,Surprise
The employee valued a friendship today.,Love
I passed the exam today.,Joy
The employee won a competition today.,Joy
The employee saw something unbelievable today.,Surprise
My friend worried about the interview today.,Fear
My friend reviewed the information today.,Neutral
My sister lost something important today.,Sadness
I received an unexpected gift today.,Surprise
The employee was amazed by the result today.,Surprise
My brother had a wonderful day today.,Joy
I went to college today.,Neutral
I could not believe the outcome today.,Surprise
The teacher experienced a surprise today.,Surprise
The student cared deeply for someone today.,Love
The teacher felt lonely today.,Sadness
The student achieved a goal today.,Joy
My friend could not believe the outcome today.,Surprise
The student felt loved today.,Love
I felt heartbroken today.,Sadness
I valued a friendship today.,Love
I could not believe the outcome today.,Surprise
The student was treated unfairly today.,Anger
Our team expressed affection today.,Love
Our team completed the assignment today.,Neutral
The employee updated the document today.,Neutral
My friend felt grateful for loved ones today.,Love
My sister could not believe the outcome today.,Surprise
My friend achieved a goal today.,Joy
The student enjoyed time with family today.,Love
The teacher missed a loved one today.,Sadness
My sister won a competition today.,Joy
The student valued a friendship today.,Love
The teacher lost patience today.,Anger
The student completed the assignment today.,Neutral
My sister feared the outcome today.,Fear
My sister cared deeply for someone today.,Love
My friend completed a project today.,Joy
My brother found an unexpected opportunity today.,Surprise
My friend became very angry today.,Anger
I worried about the interview today.,Fear
My brother felt left out today.,Sadness
Our team felt uncertain today.,Fear
I felt uncertain today.,Fear
The student felt grateful for loved ones today.,Love
I showed kindness today.,Love
The employee expressed affection today.,Love
The student submitted the report today.,Neutral
Our team completed a project today.,Joy
My brother was upset by the decision today.,Anger
My friend enjoyed time with family today.,Love
My brother felt heartbroken today.,Sadness
My sister felt nervous about the exam today.,Fear
My friend expressed affection today.,Love
The student feared the outcome today.,Fear
My brother finished the task today.,Neutral
The student was afraid of failing today.,Fear
My brother enjoyed time with family today.,Love
My brother received an unexpected gift today.,Surprise
My brother was disappointed today.,Sadness
The employee updated the document today.,Neutral
My friend felt left out today.,Sadness
I experienced a surprise today.,Surprise
The student submitted the report today.,Neutral
The employee cared deeply for someone today.,Love
My friend attended the meeting today.,Neutral
My brother was scared of the result today.,Fear
The teacher felt anxious today.,Fear
My friend submitted the report today.,Neutral
The employee got annoyed today.,Anger
The teacher was afraid of failing today.,Fear
The teacher experienced a surprise today.,Surprise
My brother felt frustrated today.,Anger
I could not believe the outcome today.,Surprise
I felt anxious today.,Fear
The teacher was afraid of failing today.,Fear
The teacher won a competition today.,Joy
My friend passed the exam today.,Joy
The teacher argued about the issue today.,Anger
My sister heard shocking news today.,Surprise
I felt lonely today.,Sadness
The teacher achieved a goal today.,Joy
Our team saw something unbelievable today.,Surprise
The employee submitted the report today.,Neutral
The student checked the schedule today.,Neutral
My brother received bad news today.,Sadness
The employee felt heartbroken today.,Sadness
My friend was upset by the decision today.,Anger
I was treated unfairly today.,Anger
Our team received good news today.,Joy
The employee felt nervous about the exam today.,Fear
I saw something unbelievable today.,Surprise
My brother went to college today.,Neutral
My sister felt heartbroken today.,Sadness
The employee missed a loved one today.,Sadness
The student finished the task today.,Neutral
I had a wonderful day today.,Joy
The teacher was scared of the result today.,Fear
The student became very angry today.,Anger
Our team became very angry today.,Anger
